session,target,contrast_modulation,amplitude,presence,response_presence,reaction_time
1,1,0,3.696,1,1,0.5704
1,1,0,3.696,0,1,0.5792
1,1,0,3.696,0,0,0.4689
1,1,0,3.696,1,1,0.4061
1,1,0,3.696,1,0,0.4759
1,1,0,3.696,1,1,0.5576
1,1,0,3.696,0,0,0.6231
1,1,0,3.696,0,0,0.6446
1,1,0,3.696,0,0,0.63
1,1,0,3.696,1,1,0.4078
1,1,0,3.696,1,1,0.5095
1,1,0,3.696,1,0,0.4947
1,1,0,3.696,0,0,0.4323
1,1,0,3.696,0,0,0.5342
1,1,0,3.696,1,1,0.4235
1,1,0,3.696,0,1,0.537
1,1,0,3.696,0,0,0.5428
1,1,0,3.696,0,0,0.6402
1,1,0,3.696,1,1,0.614
1,1,0,3.696,1,0,0.6838
1,1,0,3.696,1,1,0.8451
1,1,0,3.696,0,0,0.6587
1,1,0,3.696,0,0,0.6605
1,1,0,3.696,0,1,0.5177
1,1,0,3.696,0,1,0.5074
1,1,0,3.696,1,1,0.5249
1,1,0,3.696,1,1,0.4461
1,1,0,3.696,0,1,0.5161
1,1,0,3.696,1,0,0.4856
1,1,0,3.696,1,0,0.5991
1,1,1,1.925,0,1,0.9918
1,1,1,1.925,0,0,0.7051
1,1,1,1.925,0,0,0.5785
1,1,1,1.925,0,1,0.8659
1,1,1,1.925,0,0,0.6338
1,1,1,1.925,0,1,0.7632
1,1,1,1.925,1,0,0.7147
1,1,1,1.925,1,0,0.6745
1,1,1,1.925,1,0,0.9639
1,1,1,1.925,1,0,0.659
1,1,1,1.925,1,0,0.587
1,1,1,1.925,1,0,0.6046
1,1,1,1.925,0,0,0.6842
1,1,1,1.925,0,0,0.4517
1,1,1,1.925,0,0,0.7573
1,1,1,1.925,1,1,0.533
1,1,1,1.925,1,1,0.8604
1,1,1,1.925,1,0,0.6219
1,1,1,1.925,0,0,0.594
1,1,1,1.925,1,1,0.6397
1,1,1,1.925,1,1,0.7511
1,1,1,1.925,0,0,0.6725
1,1,1,1.925,0,0,0.6258
1,1,1,1.925,0,0,0.5771
1,1,1,1.925,0,0,0.5852
1,1,1,1.925,0,0,0.5866
1,1,1,1.925,1,1,0.6177
1,1,1,1.925,1,0,0.5779
1,1,1,1.925,1,0,0.5633
1,1,1,1.925,1,1,0.4986
1,1,1,1.925,0,0,0.6039
1,1,1,1.925,0,0,0.4732
1,1,1,1.925,0,0,0.5386
1,1,1,1.925,0,0,0.5851
