session,target,contrast_modulation,amplitude,presence,response_presence,reaction_time
1,1,0,3.465,1,0,0.4902
1,1,0,3.465,0,0,0.5011
1,1,0,3.465,0,0,0.9079
1,1,0,3.465,1,1,0.3972
1,1,0,3.465,1,0,0.7383
1,1,0,3.465,0,0,0.4582
1,1,0,3.465,1,0,0.6781
1,1,0,3.465,0,1,0.4065
1,1,0,3.465,1,1,0.4834
1,1,0,3.465,1,1,0.5746
1,1,0,3.465,1,0,0.4952
1,1,0,3.465,0,1,0.8599
1,1,0,3.465,1,0,0.7109
1,1,0,3.465,0,0,0.5687
1,1,0,3.465,0,1,0.75
1,1,0,3.465,1,0,0.4387
1,1,0,3.465,1,1,0.4842
1,1,0,3.465,1,1,0.4021
1,1,0,3.465,0,1,0.6718
1,1,0,3.465,0,0,0.4452
1,1,0,3.465,1,0,0.9478
1,1,0,3.465,1,1,0.3242
1,1,0,3.465,1,1,0.4592
1,1,0,3.465,0,1,0.4762
1,1,0,3.465,0,0,0.5074
1,1,0,3.465,0,0,0.5796
1,1,0,3.465,0,1,0.7252
1,1,0,3.465,0,1,0.4378
1,1,0,3.465,1,1,0.9726
1,1,0,3.465,0,0,0.4782
1,1,1,2.849,1,0,0.5549
1,1,1,2.849,0,0,0.4136
1,1,1,2.849,1,1,0.3379
1,1,1,2.849,1,0,0.4198
1,1,1,2.849,1,1,0.4219
1,1,1,2.849,0,0,0.4502
1,1,1,2.849,0,0,0.5727
1,1,1,2.849,1,0,0.5742
1,1,1,2.849,0,0,0.7784
1,1,1,2.849,1,1,0.4372
1,1,1,2.849,0,0,0.7426
1,1,1,2.849,1,1,0.7389
1,1,1,2.849,0,1,0.5096
1,1,1,2.849,0,1,0.5439
1,1,1,2.849,1,1,0.6682
1,1,1,2.849,1,1,0.5824
1,1,1,2.849,0,1,0.744
1,1,1,2.849,0,1,0.565
1,1,1,2.849,0,0,0.5592
1,1,1,2.849,0,0,0.6314
1,1,1,2.849,0,1,0.5705
1,1,1,2.849,0,0,0.603
1,1,1,2.849,1,1,0.6577
1,1,1,2.849,0,1,0.6431
1,1,1,2.849,1,1,0.5479
1,1,1,2.849,1,0,0.5867
1,1,1,2.849,1,1,0.524
1,1,1,2.849,1,1,0.7965
1,1,1,2.849,1,1,0.6591
1,1,1,2.849,0,0,0.6123
1,1,1,2.849,0,0,0.5057
1,1,1,2.849,1,1,0.5187
1,1,1,2.849,0,0,0.5521
1,1,1,2.849,1,1,0.679
1,1,1,2.849,0,0,0.5113
1,1,1,2.849,0,0,0.8809
1,1,1,2.849,1,1,0.4158
1,1,1,2.849,1,1,0.4721
1,1,1,2.849,0,1,0.3777
1,1,1,2.849,0,0,0.4087
1,1,1,2.849,1,1,0.4648
1,1,1,2.849,1,1,0.6262
1,1,1,2.849,0,0,0.5772
1,1,1,2.849,1,1,0.6175
1,1,1,2.849,1,1,0.6988
1,1,1,2.849,0,0,0.4902
1,1,1,2.849,1,1,0.7062
1,1,1,2.849,1,0,0.9475
1,1,1,2.849,1,1,0.7226
1,1,1,2.849,0,0,0.3598
1,1,1,2.849,0,0,0.4686
1,1,1,2.849,0,0,0.3901
1,1,1,2.849,0,0,0.4717
1,1,1,2.849,1,1,0.5504
1,1,1,2.849,1,1,0.5109
1,1,1,2.849,0,0,0.4325
1,1,1,2.849,0,0,0.5821
1,1,1,2.849,1,1,0.8393
1,1,1,2.849,1,1,0.6971
1,1,1,2.849,0,0,0.5426
1,1,0,3.465,0,0,0.5442
1,1,0,3.465,0,0,0.5208
1,1,0,3.465,1,1,0.4266
1,1,0,3.465,0,0,0.4265
1,1,0,3.465,1,1,0.7219
