session,target,contrast_modulation,amplitude,presence,response_presence,reaction_time
1,1,0,3.696,0,0,0.5382
1,1,0,3.696,1,0,0.5441
1,1,0,3.696,1,0,0.6493
1,1,0,3.696,1,1,0.3668
1,1,0,3.696,1,0,0.4165
1,1,0,3.696,1,1,0.4938
1,1,0,3.696,0,0,0.6235
1,1,0,3.696,0,0,0.6205
1,1,0,3.696,1,0,0.4625
1,1,0,3.696,1,1,0.7478
1,1,0,3.696,1,1,0.4132
1,1,0,3.696,0,0,0.3625
1,1,0,3.696,0,0,0.38
1,1,0,3.696,0,0,0.3613
1,1,0,3.696,1,1,0.443
1,1,0,3.696,0,0,0.3762
1,1,0,3.696,1,0,0.3778
1,1,0,3.696,0,0,0.4712
1,1,0,3.696,1,0,0.3928
1,1,0,3.696,0,0,0.4428
1,1,0,3.696,1,0,0.3798
1,1,0,3.696,0,0,0.4774
1,1,0,3.696,0,1,0.4107
1,1,0,3.696,1,1,0.3804
1,1,0,3.696,1,1,0.3617
1,1,0,3.696,0,0,0.3792
1,1,0,3.696,0,0,0.3605
1,1,0,3.696,0,0,0.5702
1,1,0,3.696,1,1,0.3754
1,1,0,3.696,0,0,0.409
1,1,1,1.925,1,1,0.7167
1,1,1,1.925,0,1,0.5294
1,1,1,1.925,0,0,0.5747
1,1,1,1.925,0,0,0.5285
1,1,1,1.925,1,1,0.6377
1,1,1,1.925,1,0,0.6392
1,1,1,1.925,1,0,0.5247
1,1,1,1.925,1,0,0.5903
1,1,1,1.925,1,1,0.5716
1,1,1,1.925,1,0,0.5889
1,1,1,1.925,0,1,0.5544
1,1,1,1.925,1,1,0.7001
1,1,1,1.925,0,0,0.4095
1,1,1,1.925,0,0,0.4749
1,1,1,1.925,1,0,0.7595
1,1,1,1.925,1,0,0.5219
1,1,1,1.925,0,0,0.6943
1,1,1,1.925,0,1,0.5368
1,1,1,1.925,0,0,0.5018
1,1,1,1.925,1,0,0.4173
1,1,1,1.925,0,0,0.5575
1,1,1,1.925,0,1,0.6187
1,1,1,1.925,0,0,0.4603
1,1,1,1.925,1,1,0.9696
1,1,1,1.925,1,1,0.8592
1,1,1,1.925,1,1,0.7444
1,1,1,1.925,0,0,0.5223
1,1,1,1.925,0,1,0.8395
1,1,1,1.925,1,0,0.5529
1,1,1,1.925,0,0,0.6618
1,1,1,1.925,0,1,0.686
1,1,1,1.925,1,0,0.4954
1,1,1,1.925,1,1,0.4332
1,1,1,1.925,1,1,0.4786
1,1,1,1.925,0,0,0.6562
1,1,1,1.925,0,1,1.0
1,1,1,1.925,0,0,0.5911
1,1,1,1.925,1,1,0.8765
1,1,1,1.925,0,0,0.7657
1,1,1,1.925,0,0,0.4271
1,1,1,1.925,0,0,0.4768
1,1,1,1.925,1,0,0.6811
1,1,1,1.925,1,1,0.5717
1,1,1,1.925,0,0,0.4406
1,1,1,1.925,1,1,0.5387
1,1,1,1.925,0,0,0.3754
1,1,1,1.925,0,0,0.4735
1,1,1,1.925,1,1,0.4858
1,1,1,1.925,1,0,0.4403
1,1,1,1.925,1,0,0.4246
