session,target,contrast_modulation,amplitude,presence,response_presence
1,1,0,0.9,1,0
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,1,1
1,1,0,0.9,0,1
1,1,0,0.9,0,0
1,1,0,0.9,1,0
1,1,0,0.9,1,1
1,1,0,0.9,0,1
1,1,0,0.9,1,1
1,1,0,0.9,1,0
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,1,1
1,1,0,0.9,1,1
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,0,0
1,1,0,0.9,0,1
1,1,0,0.9,1,1
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,1,0
1,1,0,0.9,0,1
1,1,0,0.9,0,0
1,1,0,0.9,0,0
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,0,1
1,1,0,0.9,0,1
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,1,0.6,1,0
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,1,0.6,1,1
1,1,1,0.6,0,0
1,1,1,0.6,0,1
1,1,1,0.6,1,1
1,1,1,0.6,1,0
1,1,1,0.6,0,1
1,1,1,0.6,1,1
1,1,1,0.6,0,1
1,1,1,0.6,1,0
1,1,1,0.6,1,0
1,1,1,0.6,1,0
1,1,1,0.6,1,0
1,1,1,0.6,0,1
1,1,1,0.6,1,0
1,1,1,0.6,1,0
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,1,0.6,1,0
1,1,1,0.6,1,1
1,1,1,0.6,1,1
1,1,1,0.6,1,1
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,1,0.6,1,1
1,1,1,0.6,0,0
1,1,1,0.6,1,0
1,1,1,0.6,1,1
1,1,1,0.6,0,1
1,1,1,0.6,1,1
1,1,1,0.6,0,0
1,1,1,0.6,0,1
1,1,1,0.6,1,0
1,1,1,0.6,1,1
1,1,1,0.6,1,0
1,1,1,0.6,1,1
1,1,1,0.6,0,0
1,1,1,0.6,1,0
1,1,1,0.6,1,1
1,1,1,0.6,0,0
1,1,1,0.6,0,1
1,1,1,0.6,1,0
1,1,1,0.6,1,1
1,1,1,0.6,0,1
1,1,1,0.6,1,0
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,1,0.6,1,1
1,1,1,0.6,0,0
1,1,1,0.6,1,0
1,1,1,0.6,0,0
1,1,1,0.6,0,0
1,1,0,0.9,0,0
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,1,0
1,1,0,0.9,1,0
1,1,0,0.9,1,0
1,1,0,0.9,1,0
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,0,0
1,1,0,0.9,0,0
1,1,0,0.9,1,1
1,1,0,0.9,1,0
1,1,0,0.9,0,0
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,0,1
1,1,0,0.9,1,0
1,1,0,0.9,1,1
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,1,1
1,1,0,0.9,1,1
1,1,0,0.9,0,0
1,1,0,0.9,0,0
1,1,0,0.9,0,1
1,1,0,0.9,0,1
1,1,0,0.9,1,0
1,1,0,0.9,0,0
1,1,0,0.9,0,0
1,2,0,0.9,0,0
1,2,0,0.9,0,1
1,2,0,0.9,0,0
1,2,0,0.9,1,1
1,2,0,0.9,1,1
1,2,0,0.9,1,0
1,2,0,0.9,0,0
1,2,0,0.9,1,1
1,2,0,0.9,1,1
1,2,0,0.9,0,0
1,2,0,0.9,1,0
1,2,0,0.9,1,1
1,2,0,0.9,1,1
1,2,0,0.9,0,0
1,2,0,0.9,1,0
1,2,0,0.9,1,1
1,2,0,0.9,0,0
1,2,0,0.9,1,0
1,2,0,0.9,0,0
1,2,0,0.9,1,0
1,2,0,0.9,0,1
1,2,0,0.9,0,0
1,2,0,0.9,0,0
1,2,0,0.9,1,0
1,2,0,0.9,1,1
1,2,0,0.9,0,0
1,2,0,0.9,0,1
1,2,0,0.9,0,0
1,2,0,0.9,0,0
1,2,0,0.9,1,0
1,2,1,0.6,1,1
1,2,1,0.6,0,0
1,2,1,0.6,0,1
1,2,1,0.6,0,1
1,2,1,0.6,1,1
1,2,1,0.6,1,0
1,2,1,0.6,0,0
1,2,1,0.6,1,1
1,2,1,0.6,0,0
1,2,1,0.6,0,1
1,2,1,0.6,1,0
1,2,1,0.6,1,0
1,2,1,0.6,0,0
1,2,1,0.6,1,1
1,2,1,0.6,0,0
1,2,1,0.6,0,0
1,2,1,0.6,1,0
1,2,1,0.6,1,0
1,2,1,0.6,1,1
1,2,1,0.6,1,0
1,2,1,0.6,0,1
1,2,1,0.6,0,0
1,2,1,0.6,0,0
1,2,1,0.6,0,1
1,2,1,0.6,1,0
1,2,1,0.6,1,1
