# Thresholds (dB) of models in Experiment 1
# line 1: uniform background, line 2: modulated background
# columns: rc, sine, tri, sqr, rect

# (For Figure 5 and 6)
# TM
5.421787490309626634e+01,4.697469938800817602e+01,4.693927970849881603e+01,4.607360513970778726e+01,4.335452486033402408e+01
5.344821270832683524e+01,4.640483917908120759e+01,4.636636025008076700e+01,4.552877949846919137e+01,4.278360953529622179e+01

# WTM
5.279634262887800844e+01,4.491605860837989894e+01,4.442903295642060613e+01,3.492064975246551484e+01,3.125164550957796550e+01
5.217500010342200767e+01,4.465017085358745419e+01,4.417893721034434407e+01,3.503735560962032025e+01,3.093577920200243270e+01

# RTM
5.421651838296052972e+01,4.697476805943844624e+01,4.693937968175853825e+01,4.607351849144913558e+01,4.335470833784061284e+01
4.682902684661183201e+01,4.000216827379625073e+01,3.996612549932555680e+01,3.909752542103025519e+01,3.641619805526723752e+01

# WRTM
5.279652554364432149e+01,4.491559205895751461e+01,4.442853662142982785e+01,3.492033022702563017e+01,3.125250483155224401e+01
4.292396638467061365e+01,3.727789541972644116e+01,3.686916824724996644e+01,2.825634983546996892e+01,2.518995713195042541e+01

# (For Figure 10)
# ERTM
5.300278892541938092e+01,4.500402417891220352e+01,4.486964796433024816e+01,4.386690718374304510e+01,4.110499275257930663e+01
4.375117293798831497e+01,3.790496792712438889e+01,3.775585133017418116e+01,3.697258780698994940e+01,3.403841014489587735e+01

# UERTM
5.400901002771833248e+01,4.854341561402684846e+01,4.815409228814067433e+01,4.619958778756735285e+01,4.149441258440152325e+01
4.568334171769481600e+01,4.265686785451833885e+01,4.237312172717490455e+01,4.063476415560485577e+01,3.623738474465081794e+01
