# Thresholds (dB) of models in Experiment 2
# line 1: uniform background, line 2: modulated background
# columns: sine, tri, sqr, rect

# (For Figure 7 and 8)
# TM
3.619684182842074449e+01,3.612337253496436063e+01,3.556299723488783115e+01,3.320660491648401091e+01
3.584617984504348698e+01,3.576486601920397845e+01,3.521273233626679655e+01,3.280530339286995911e+01

# WTM
3.375605068728847868e+01,3.302239560655670658e+01,2.724329402139429135e+01,2.423193609623864120e+01
3.362519582532811313e+01,3.278800911027060749e+01,2.709581487817725431e+01,2.407792100580178030e+01

# RTM
3.619416936731401080e+01,3.612063340605656947e+01,3.556006908145936052e+01,3.320350809697312400e+01
2.921372393297778203e+01,2.914836221968751317e+01,2.852382668075417627e+01,2.632266020027928022e+01

# WRTM
3.375400578080607517e+01,3.302089597015363154e+01,2.724047348000670610e+01,2.423187691033209390e+01
2.665585892498183540e+01,2.616727178602960535e+01,2.118846806750267575e+01,1.846226563495639184e+01

# (For Figure 11)
# ERTM
3.438080438075132150e+01,3.444650344106074868e+01,3.495680556502836112e+01,3.274995086946637457e+01
2.841796748983589893e+01,2.843126553393986455e+01,2.838152874638266709e+01,2.612950796061149461e+01

# UERTM
3.979040075191240078e+01,3.973545743189308865e+01,3.947717245833892719e+01,3.713787578668488720e+01
3.466991576330981673e+01,3.468114829508951402e+01,3.455335578855440559e+01,3.269979076039433608e+01
